amber, ámbar
aquamarine, aguamarina
black, negro
blue, azul
brown, café
copper, cobre
cyan, cian
dark brown, marrón
fuchsia, Fucsia
gold, dorado
gray, gris
green, verde
indigo, índigo
lilac, lila
lime green, verde limón; verde lima
magenta, magenta
navy blue, azul marino
orange, naranja; anaranjado
olive green, verde oliva
pink, rosado; rosa
purple, morado; purpura
red, rojo
salmon, salmón
scarlet, escarlata
silver, plateado
sky blue, celeste
teal, verde azulado
turquoise, turquesa
violet, violeta
yellow, amarillo
