lawyer, abogado/abogada
actor/actress, actor/actriz
administrator, administrador/administradora
worker, albañil	construction
analyst, analista
referee, árbitro/árbitra
architect, arquitecto/arquitecta
artist, artista
assistant, asistente
athlete, atleta
steward/hostess, azafata
dancer, bailarín/bailarina
caterer, banquetero/banquetera
fireman/woman, bombero/bombera
cashier, cajero/cajera
farmer, campesino/campesina
singer, cantante
butcher, carnicero/carnicera
carpenter, carpintero/carpintera
worker, cartero/cartera	postal
landlord, casero/casera
chef, chef
scientist, científico/científica
surgeon, cirujano/cirujana
cook, cocinero/cocinera
driver, conductor/conductora
consultant, consultor/consultora
accountant, contador/contadora
dentist, dentista
clerk, dependiente/depedienta
director, director/directora
designer, diseñador/diseñadora
owner, dueño/dueña
executive, ejecutivo/ejecutiva
electrician, electricista
entrepreneur, emprendedor/emprendedora
nurse, enfermero/enfermera
writer, escritor/escritora
florist, florista
photographer, fotógrafo/fotógrafa
soccer player, futbolista
manager, gerente/gerenta
blacksmith, herrero/herrera
engineer, ingeniero/ingeniera
investor, inversionista
gardener, jardinero/jardinera
boss, jefe/jefa
judge, juez/jueza
BA graduate, licenciado/licenciada
teacher, maestro/maestra
sailor, marinero/marinera
mechanic, mecánico/mecánica
doctor, médico/médica
waiter/waitress, mesero/mesera
minister, ministro/ministra
musician, músico/música
laborer, obrero/obrera
operator, operador/operadora
baker, panadero/panadera
paramedic, paramédico/paramédica
pastor, pastor/pastora
journalist, periodista
fisher, pescador/pescadora
pilot, piloto/pilota
painter, pintor/pintora
plumber, plomero/plomera
police officer, policía
doorman/doorwoman, portero/portera
president, presidente/presidenta
professor, profesor/profesora
programmer, programador/programadora
psychologist, psicólogo/psicóloga
psychiatrist, psiquiatra
chemist, químico/química
rancher, ranchero/ranchera
secretary, secretario/secretaria
taxi driver, taxista
technician, técnico/técnica
housekeeper, trabajador/trabajadora del hogar
colf, criada
veterinarian, veterinario/veterinaria
