Monday, el lunes
Tuesday, el martes
Wednesday, el miércoles
Thursday, el jueves
Friday, el viernes
Saturday, el sábado
Sunday, el domingo
January, enero
February, febrero
March, marzo
April, abril
May, mayo
June, junio
July, julio
August, agosto
September, septiembre
October, octubre
November, noviembre
December, diciembre
summer, el verano
autumn, el otoño
winter, el invierno
spring (season), la primavera
morning, la mañana
afternoon/evening, la tarde
night, la noche
at about [time], a eso de
midday; noon, es mediodìa
midnight, es medianoche
early, es temprano
late, es tarde
one time; once, una vez
twice, dos veces
three times, tres veces
double, doble
triple, triple
a half, la mitad
